CASO 		"divisor 0.75"
(2,20) 			0.1763
(2,30) 			0.4945
(4,20) 			1.2336
(4,30) 			4.8805


CASO 		"divisor 0.85"
(2,20) 			0.1967
(2,30) 			0.6254
(4,20) 			1.6429
(4,30) 			6.6694


CASO 		"divisor 0.95"
(2,20) 			0.3667
(2,30) 			1.4392
(4,20) 			4.0735
(4,30) 			18.1853

